item_uid,exclude,exclusion_datasets,item,item_task (from item),item_uid (from item)
math_identify_2,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_identify_2,math,math_identify_2
math_line_01_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_01_1,math,math_line_01_1
math_line_1_10,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_1_10,math,math_line_1_10
math_line_02_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_02_1,math,math_line_02_1
math_line_2_10,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_2_10,math,math_line_2_10
math_line_04_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_04_1,math,math_line_04_1
math_line_4_10,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_4_10,math,math_line_4_10
math_line_5_10,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_5_10,math,math_line_5_10
math_line_5_1000,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_5_1000,math,math_line_5_1000
math_line_5_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_5_1000,math,math_line_5_1000
math_line_06_1,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_06_1,math,math_line_06_1
math_line_6_10,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_6_10,math,math_line_6_10
math_line_6_10,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_6_10,math,math_line_6_10
math_line_7_10,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_7_10,math,math_line_7_10
math_line_7_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_7_100,math,math_line_7_100
math_line_08_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_08_1,math,math_line_08_1
math_line_8_10,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_8_10,math,math_line_8_10
math_line_09_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_09_1,math,math_line_09_1
math_line_9_10,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_9_10,math,math_line_9_10
math_line_9_100,checked,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_9_100,math,math_line_9_100
math_line_012_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_012_1,math,math_line_012_1
math_line_14_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_14_100,math,math_line_14_100
math_line_18_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_18_100,math,math_line_18_100
math_line_21_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_21_100,math,math_line_21_100
math_line_25_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_25_100,math,math_line_25_100
math_line_027_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_027_1,math,math_line_027_1
math_line_30_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_30_100,math,math_line_30_100
math_line_33_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_33_100,math,math_line_33_100
math_line_034_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_034_1,math,math_line_034_1
math_line_37_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_37_100,math,math_line_37_100
math_line_41_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_41_1000,math,math_line_41_1000
math_line_42_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_42_100,math,math_line_42_100
math_line_045_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_045_1,math,math_line_045_1
math_line_46_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_46_100,math,math_line_46_100
math_line_50_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_50_100,math,math_line_50_100
math_line_056_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_056_1,math,math_line_056_1
math_line_59_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_59_100,math,math_line_59_100
math_line_62_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_62_100,math,math_line_62_100
math_line_67_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_67_100,math,math_line_67_100
math_line_071_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_071_1,math,math_line_071_1
math_line_71_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_71_100,math,math_line_71_100
math_line_075_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_075_1,math,math_line_075_1
math_line_76_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_76_1000,math,math_line_76_1000
math_line_79_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_79_100,math,math_line_79_100
math_line_83_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_83_100,math,math_line_83_100
math_line_087_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_087_1,math,math_line_087_1
math_line_87_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_87_100,math,math_line_87_100
math_line_92_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_92_100,math,math_line_92_100
